index,language_key,language_sample,language_production,name,body,face,select_index,bg,next_index,appear_production,appear_production_time,appear_production_value,auto_next,my_name,gallery,bgm,bgm_fade_time,sfx,sfx_type,cg_production,ending
39,story_39,나는 분명 신일 거라 확신했다.,,,Character_Main_0,Character_Main_0_1,,2,40,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
40,story_40,“많이 급해 보이는데...”,,1,Character_Main_0,Character_Main_0_7,,2,41,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
41,story_41,“돌려줘요.”,,2,Character_Main_0,Character_Main_0_7,,2,42,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
42,story_42,“...그건 못 한단다.”,,1,Character_Main_0,Character_Main_0_7,,2,43,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
43,story_43,"단호했지만, 목소리는 여전히 부드러웠다.",,,Character_Main_0,Character_Main_0_7,,2,44,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
44,story_44,"“대신, 이야기 좀 해주지 않으련?”",,1,Character_Main_0,Character_Main_0_6,,2,45,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
45,story_45,“...왜 이런 짓을 하는지.”,,1,Character_Main_0,Character_Main_0_6,,2,46,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
46,story_46,“...하...”,,2,Character_Main_0,Character_Main_0_6,,2,47,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
47,story_47,"숨이 점점 가빠지고,",,,Character_Main_0,Character_Main_0_6,,2,48,,,,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
48,story_48,시야가 흔들려왔다.,,,Character_Main_0,Character_Main_0_6,,2,49,14/20,0/0,1.5/2,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
49,story_49,(아직 전부 흡수하지 못했는데...),,2,Character_Main_0,Character_Main_0_6,,2,50,14/20,0/0,1.5/2,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
50,story_50,“...안 그러면... 죽어...”,,2,Character_Main_0,Character_Main_0_6,,2,51,14/1/20,0/1/0,1.5/0.1/2,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
51,story_51,그 말을 끝으로 몸에서 힘이 풀리며 그대로 쓰러졌다.,,,Character_Main_0,Character_Main_0_6,,2,52,14/1,0/1,1.5/0.2,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
52,story_52,“...!”,,1,Character_Main_0,Character_Main_0_9,,2,53,14/1,0/1,1.5/0.4,FALSE,FALSE,,Moss Gate,,Sit,1,CG_Fly_Yellow,
53,story_53,그의 얼굴에 놀란 기색이 스쳤다.,,,Character_Main_0,Character_Main_0_9,,2,54,14/1,0/1,1.5/0.6,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
54,story_54,"잠시 망설이다가, 조용히 다가와",,,Character_Main_0,Character_Main_0_6,,2,55,14/1,0/1,1.5/0.8,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
55,story_55,쓰러진 나를 받아냈다.,,,Character_Main_0,Character_Main_0_6,,2,56,14/1,0/1,1.5/1,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
56,story_56,"“...이건, 생각보다 심각하네.”",,1,,,,2,57,14/1,0/1,1.5/1,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
57,story_57,“이 아이는 도대체...”,,1,,,,2,58,14/1,0/1,1.5/1,FALSE,FALSE,,Moss Gate,,,,CG_Fly_Yellow,
58,story_58,"눈을 뜨자, 낯선 천장이 보였다.",,,,,,3,59,9,3,0.6,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
59,story_59,“헉...!”,,2,,,,3,60,23,1,5,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
60,story_60,“...여긴...”,,2,,,,3,61,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
61,story_61,아직 살아있다.,,,,,,3,62,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
62,story_62,나는 몸을 더듬거리며 벌떡 일어났다.,,,,,,3,63,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
63,story_63,(분명... 성물을 빼앗겼을 텐데...),,2,,,,3,64,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
64,story_65,“깼구나.”,,1,Character_Main_0,Character_Main_0_1,,3,65,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
65,story_66,“...!”,,2,Character_Main_0,Character_Main_0_1,,3,66,23,1,5,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
66,story_67,온화하게 미소 짓고 있는 남자의 얼굴과 마주쳤다.,,,Character_Main_0,Character_Main_0_1,,3,67,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
67,story_68,"놀란 것도 잠시, 심장이 묘하게 울렸다.",,,Character_Main_0,Character_Main_0_1,,3,68,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
68,story_69,(내 심장이... 뭔가 이상해...),,2,Character_Main_0,Character_Main_0_1,,3,69,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
69,story_70,나는 의아해하면서도 그 신을 경계하며 바라보았다.,,,Character_Main_0,Character_Main_0_1,,3,70,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
70,story_71,"“조금, 신력을 나누어 주었단다.”",,1,Character_Main_0,Character_Main_0_1,,3,72,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
72,,,,2,Character_Main_0,Character_Main_0_1,1,3,,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
301,story_74,“...그냥 두고 갈 수가 없어서.”,,1,Character_Main_0,Character_Main_0_6,,3,302,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
302,story_75,"“그 상태면, 정말 죽을 것 같았거든.”",,1,Character_Main_0,Character_Main_0_6,,3,303,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
303,story_76,"“그래도, 저는—”",,2,Character_Main_0,Character_Main_0_6,,3,304,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
304,story_77,“...알아.”,,1,Character_Main_0,Character_Main_0_7,,3,305,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
305,story_78,“아이야...내 걸 훔치러 온 거지?”,,1,Character_Main_0,Character_Main_0_7,,3,306,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
306,story_251,그의 말에 나는 아무 말도 할 수 없었다.,,,Character_Main_0,Character_Main_0_8,,3,307,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
307,story_80,“...그렇다고 죽게 둘 수는 없잖아.”,,1,Character_Main_0,Character_Main_0_8,,3,380,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
321,story_83,“...그래.”,,1,Character_Main_0,Character_Main_0_1,,3,323,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
323,story_85,“내가 가진 신력이 얼마 남지 않아 조금 걱정했다만”,,1,Character_Main_0,Character_Main_0_1,,3,324,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
324,story_86,"“네가 무사해서 다행이구나, 아이야.”",,1,Character_Main_0,Character_Main_0_1,,3,325,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
325,story_88,“...그거... 당신 거잖아요.”,,2,Character_Main_0,Character_Main_0_1,,3,326,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
326,story_90,“...그래도 괜찮아.”,,1,Character_Main_0,Character_Main_0_1,,3,327,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
327,story_91,“조금 나눠준 것뿐이니까.”,,1,Character_Main_0,Character_Main_0_1,,3,380,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
341,story_94,"“그건 안된단다, 아이야.”",,1,Character_Main_0,Character_Main_0_7,,3,342,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
342,story_250,“신이라도 성물이 없으면... 죽을 수 있거든.”,,1,Character_Main_0,Character_Main_0_8,,3,343,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
343,story_95,"“저, 그거 없으면—”",,2,Character_Main_0,Character_Main_0_8,,3,344,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
344,story_96,“...알고 있어.”,,1,Character_Main_0,Character_Main_0_7,,3,345,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
345,story_97,“그래서 조금 나눠준 거야.”,,1,Character_Main_0,Character_Main_0_7,,3,346,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
346,story_98,"“...전부 주는 건, 못 한단다.”",,1,Character_Main_0,Character_Main_0_7,,3,347,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
347,story_99,말은 단호했지만 목소리는 여전히 부드러웠다.,,,Character_Main_0,Character_Main_0_7,,3,380,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
380,story_100,그의 말에 내 양심이 쿡쿡 찔려오자,,,Character_Main_0,Character_Main_0_1,,3,381,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
381,story_101,나도 모르게 한숨이 새어 나왔다.,,,Character_Main_0,Character_Main_0_1,,3,382,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
382,story_102,“하아...”,,2,Character_Main_0,Character_Main_0_1,,3,383,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
383,story_103,(이 신은...),,2,Character_Main_0,Character_Main_0_1,,3,384,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
384,story_104,(어쩌면 바보일지도 모르겠다.),,2,Character_Main_0,Character_Main_0_1,,3,385,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
385,story_105,(정말 이상한 신이지만...),,2,Character_Main_0,Character_Main_0_1,,3,386,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
386,story_106,(어딘가 낯설지가 않아...),,2,Character_Main_0,Character_Main_0_1,,3,387,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
387,story_107,(...분명 처음 보는 신인데.),,2,Character_Main_0,Character_Main_0_1,,3,388,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
388,Story_Empty,,,,,,,3,389,25,1,1,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
389,story_108,얼마나 시간이 지났을까.,,,,,,3,390,24,1,0,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
390,story_109,"숨이 가빠오던 몸이, 조금씩 원래대로 돌아오기 시작했다.",,,,,,3,391,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
391,story_110,“...조금은 괜찮니?”,,1,Character_Main_0,Character_Main_0_1,,3,392,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
392,story_112,“...네.”,,2,Character_Main_0,Character_Main_0_1,,3,393,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
393,story_113,“무리하면 또 쓰러질 거란다.”,,1,Character_Main_0,Character_Main_0_1,,3,394,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
394,story_114,“...당분간은 여기서 쉬어도 괜찮아.”,,1,Character_Main_0,Character_Main_0_1,,3,395,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
395,,,,2,Character_Main_0,Character_Main_0_1,2,3,,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
500,story_115,그가 나를 보며 부드럽게 미소 지었다.,,,Character_Main_0,Character_Main_0_1,,3,501,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
501,story_116,“...그러렴.”,,1,Character_Main_0,Character_Main_0_1,,3,700,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
560,story_117,"벌떡 일어나 급하게 나가려고 하자,",,,Character_Main_0,Character_Main_0_1,,3,561,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
561,story_118,그가 내 손목을 붙잡았다.,,,Character_Main_0,Character_Main_0_6,,3,562,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
562,story_119,부드럽지만 놓아주지 않겠다는 듯.,,,Character_Main_0,Character_Main_0_6,,3,563,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
563,story_121,“...잠시만...아이야...”,,1,Character_Main_0,Character_Main_0_6,,3,564,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
564,story_122,"“지금 이 상태로 나갔다간 위험할 수 있으니, 조금 더 있다 가지 않으련?”",,1,Character_Main_0,Character_Main_0_6,,3,565,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
565,story_254,“......알겠어요.”,,2,Character_Main_0,Character_Main_0_6,,3,566,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
566,Story_Empty,,,,,,,3,700,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
700,story_123,신당 이라고 하기에도 어색할 정도로 텅 비어 있는 공간에,,,,,,3,701,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
701,story_124,나와 그는 적당한 거리를 유지하며 앉아있었다.,,,,,,3,702,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
702,story_125,"이상하게 마음이 가라앉지 않고,",,,,,,3,703,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_102_Fly,
703,story_126,심장이 이유 없이 두근거렸다.,,,,,,3,704,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_102_Fly,
704,story_127,(진짜 왜 이러지...),,2,,,,3,705,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_102_Fly,
705,story_128,나도 모르게 시선이 그에게 향했다.,,,Character_Main_0,Character_Main_0_1,,3,706,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_102_Fly,
706,story_129,(...왜 이렇게 신경 쓰이는 거야...),,2,Character_Main_0,Character_Main_0_1,,3,707,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_102_Fly,
707,story_130,그 순간—,,,Character_Main_0,Character_Main_0_1,,3,708,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_102_Fly,
708,story_131,“...아이야.”,,1,Character_Main_0,Character_Main_0_2,,3,709,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
709,story_132,정적을 깨듯 그의 목소리가 들려왔다.,,,Character_Main_0,Character_Main_0_2,,3,710,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
710,story_133,“...네?”,,2,Character_Main_0,Character_Main_0_2,,3,711,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
711,story_134,"“...지금, 나를 보고 있었니?”",,1,Character_Main_0,Character_Main_0_2,,3,712,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
712,story_135,“...!”,,2,Character_Main_0,Character_Main_0_2,,3,713,23,1,5,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
713,story_252,“아니거든요...!”,,2,Character_Main_0,Character_Main_0_2,,3,714,23,1,5,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
714,story_136,“...이상하구나.”,,1,Character_Main_0,Character_Main_0_3,,3,715,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
715,story_137,들킨 것 같아 더 부끄러워졌다.,,,Character_Main_0,Character_Main_0_3,,3,716,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
716,story_138,"나는 쭈그린 채, 무릎에 얼굴을 묻고 아무 말도 없이 가만히 있었다.",,,,,,3,717,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
717,story_139,"그도 정적을 지키며 다시 조용해지자,",,,,,,3,718,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
718,story_140,나는 어느새 잠에 들었다.,,,,,,3,719,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
719,story_141,"생각할 일은 너무나도 많았지만, 이미 너무 지쳐 있었다.",,,,,,3,720,9,1,0.4,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
720,story_142,"(잠시만— 잠시만 쉬고, 다시 움직이자.)",,2,,,,3,800,9,1,0.6,FALSE,FALSE,,Moss Gate,1,,,CG_102_Fly,
800,,,,,,,,3,801,1,2,0,TRUE,FALSE,,,,,,CG_102_Fly,
801,,,,,,,,4,802,2,2,0,TRUE,FALSE,,,,,,CG_102_Fly,
802,story_143,"눈을 뜨자, 밖은 어느새 어둑해져 있었다.",,,,,,4,803,,,,FALSE,FALSE,,Moss Gate,1,,,CG_102_Fly,
803,story_144,두리번거리며 신당 안을 둘러보았지만 그 신은 없었다.,,,,,,4,804,,,,FALSE,FALSE,,Moss Gate,,,,CG_102_Fly,
804,story_145,나는 몸을 일으켜 신당 밖으로 나왔다.,,,,,,1,805,3,0.7,0,FALSE,FALSE,,Moss Gate,,Forest_4,-1,CG_101_Fly,
805,story_146,(그 신은 어디로 간 거지...),,2,,,,1,806,,,,FALSE,FALSE,,Moss Gate,,Forest_4,-1,CG_101_Fly,
806,story_147,나는 시원한 밤바람을 쐬며 기지개를 켜고 있었다.,,,,,,1,807,,,,FALSE,FALSE,,Moss Gate,,Forest_4,-1,CG_101_Fly,
807,story_148,“...아이야.”,,1,Character_Main_0,Character_Main_0_1,,1,808,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
808,story_149,"그가 갑작스럽게, 내 뒤에서 모습을 드러냈다.",,,Character_Main_0,Character_Main_0_1,,1,809,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
809,story_150,“깜짝이야!”,,2,Character_Main_0,Character_Main_0_1,,1,810,23,1,5,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_101_Fly,
810,story_151,놀란 마음에 심장이 마구 뛰기 시작했다.,,,Character_Main_0,Character_Main_0_1,,1,811,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_101_Fly,
811,story_152,“...괜찮니?”,,1,Character_Main_0,Character_Main_0_6,,1,812,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_101_Fly,
812,story_153,“숨이 가빠 보이는데.”,,1,Character_Main_0,Character_Main_0_6,,1,813,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_101_Fly,
813,story_154,"“...괘,괜찮아요!”",,2,Character_Main_0,Character_Main_0_6,,1,814,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_101_Fly,
814,story_155,(왜...왜 저렇게 빤히 보는 거야...),,2,Character_Main_0,Character_Main_0_6,,1,815,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_101_Fly,
815,story_156,저 신이 나를 바라볼 때마다 이상한 기분에 휩싸였다.,,,Character_Main_0,Character_Main_0_6,,1,816,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_101_Fly,
816,story_157,(분명 놀란 마음 때문일 거야...),,2,Character_Main_0,Character_Main_0_6,,1,817,,,,FALSE,FALSE,,Moss Gate,,HeartBeat,-1,CG_101_Fly,
817,story_158,“...음.”,,1,Character_Main_0,Character_Main_0_2,,1,818,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
818,story_159,"“조금, 곤란하구나.”",,1,Character_Main_0,Character_Main_0_2,,1,819,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
819,story_160,“뭐가요?”,,2,Character_Main_0,Character_Main_0_2,,1,820,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
820,story_161,"“내가 네게 신력을 준 것이 문제였는지, 감정이 공유되고 있는 것 같구나.”",,1,Character_Main_0,Character_Main_0_3,,1,821,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
821,story_162,"“...네가 느끼는 게, 마치 내 것인 것처럼.”",,1,Character_Main_0,Character_Main_0_3,,1,822,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
822,story_163,“아마 너도 마찬가지이겠지...”,,1,Character_Main_0,Character_Main_0_3,,1,823,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
823,story_164,“....네...?”,,2,Character_Main_0,Character_Main_0_3,,1,824,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
824,story_165,“...이상하구나...이런 연결은 처음인데...”,,1,Character_Main_0_10,,,1,825,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
825,story_166,“말도 안 돼요.”,,2,Character_Main_0_10,,,1,826,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
826,story_167,"나는 여러 번 성물을 훔치며 다녔지만,",,,Character_Main_0_10,,,1,827,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
827,story_168,이런 식으로 연결된 적은 단 한 번도 없었다.,,,Character_Main_0_10,,,1,828,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
828,story_169,"어떻게 해야 할지 몰라, 그저 안절부절 못할 뿐이었다.",,,Character_Main_0_10,,,1,829,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
829,story_170,"“일단.. 지금 상태로는, 알 방법이 없겠구나.”",,1,Character_Main_0_10,,,1,830,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
830,story_253,“원인을 알아봐야겠어.”,,1,Character_Main_0_10,,,1,831,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
831,story_171,"“괜찮다면...그동안은, 나와 함께 다니지 않으련?”",,1,Character_Main_0,Character_Main_0_1,,1,832,,,,FALSE,FALSE,,Moss Gate,,,,CG_101_Fly,
